idx,PILOT,PILOT_Base,CART,LightGBMLinear,MARS
1,0.0028,0.0003,3.0684,0.0960,0.0002
,(0.0451),(0.0004),(0.5810),(0.0268),(0.0003)
2,2.8024,2.4387,33.8446,2.3241,0.2034
,(0.6756),(0.6410),(5.8051),(0.4164),(0.1414)
3,63.0187,5175.4037,395.7767,28.1019,0.7313
,(86.7653),(320.2569),(427.5928),(74.7062),(1.7161)
4,0.9430,0.9643,7.1797,0.6539,0.0395
,(0.2270),(0.1988),(0.4001),(0.1013),(0.1080)
5,817.3461,18864.0370,2260.7406,57.5207,114.1182
,(1031.8591),(1536.2219),(344.5172),(69.0942),(17.6769)
6,0.0062,0.0062,0.0169,0.0039,0.0426
,(0.0022),(0.0019),(0.0041),(0.0088),(0.7613)
